,Drug,Treated,Repulls,Mortalities,Treatment Success(%),Case Fatality Rate(%),$/Hd/Rx,Treatment $,Month,Year,Risk,Season
9,BaytrilAs2ndRx,438,0.0,99.0,100.00,22.60,0.0,0.0,February,2018,Moderate,Spring
10,BaytrilAs3rdRx,15,0.0,3.0,100.00,20.00,0.0,0.0,February,2018,Moderate,Spring
11,Bio-Mycin,3134,444.0,54.0,85.83,1.72,4.52,14165.68,February,2018,Moderate,Spring
12,Bio-MyicnAs3rdRx,58,3.0,15.0,94.83,25.86,4.97,288.26,February,2018,Moderate,Spring
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
15,Draxxin,12968,1455.0,794.0,88.78,6.12,39.13,507378.89,February,2018,Moderate,Spring
16,DraxxinAs2ndRx,73,20.0,16.0,72.60,21.92,30.46,2223.58,February,2018,Moderate,Spring
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
18,Excede,329,141.0,60.0,57.14,18.24,39.79,13089.81,February,2018,Moderate,Spring
19,ExcedeAs2ndRx,1079,128.0,152.0,88.14,14.09,20.07,21660.92,February,2018,Moderate,Spring
20,ExcedeAs3rdRx,177,0.0,46.0,100.00,25.99,0.0,0.0,February,2018,Moderate,Spring
21,Excenel,30,0.0,6.0,100.00,20.00,0.0,0.0,February,2018,Moderate,Spring
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
23,LA-200,126,0.0,2.0,100.00,1.59,3.24,408.24,February,2018,Moderate,Spring
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
25,MassRxDraxxin,2389,182.0,26.0,92.38,1.09,30.24,72243.36,February,2018,Moderate,Spring
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
27,MassRxExcede,151,0.0,27.0,100.00,17.88,0.0,0.0,February,2018,Moderate,Spring
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
29,MassRxMicotil,10896,1393.0,200.0,87.22,1.84,16.77,182725.92,February,2018,Moderate,Spring
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
33,MassRxZactran,1475,9.0,4.0,99.39,0.27,25.01,36889.75,February,2018,Moderate,Spring
0,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
1,MassRxZuprevo,3837,651.0,71.0,83.03,1.85,20.28,77814.36,February,2018,Moderate,Spring
2,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
3,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
4,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
5,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
6,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
7,NaxcelAs3rdRx,35,0.0,14.0,100.00,40.00,0.0,0.0,February,2018,Moderate,Spring
8,Nuflor,1980,64.0,140.0,96.77,7.07,26.14,51763.8,February,2018,Moderate,Spring
9,NuflorAs2ndRx,1010,62.0,198.0,93.86,19.60,24.57,24815.7,February,2018,Moderate,Spring
10,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
11,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
13,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
14,Polyflex,15,0.0,0.0,100.00,0.00,5.31,79.65,February,2018,Moderate,Spring
15,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
16,ResflorGold,3973,758.0,496.0,80.92,12.48,32.61,129539.67,February,2018,Moderate,Spring
17,ResflorGoldAs2ndRx,242,54.0,26.0,77.69,10.74,22.66,5483.72,February,2018,Moderate,Spring
18,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
19,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Moderate,Spring
20,Zactran,177,36.0,2.0,79.66,1.13,25.36,4488.72,February,2018,Moderate,Spring
21,Zuprevo,1088,1.0,92.0,99.91,8.46,27.62,30050.56,February,2018,Moderate,Spring
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
5,Advocin,503,43.0,213.0,91.45,42.35,40.81,20526.42,February,2018,High,Spring
6,AdvocinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
8,Baytril,371,114.0,63.0,69.27,16.98,42.39,15726.69,February,2018,High,Spring
9,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
10,BaytrilAs3rdRx,370,72.0,47.0,80.54,12.70,108.95,40311.5,February,2018,High,Spring
11,Bio-Mycin,386,43.0,34.0,88.86,8.81,8.95,3454.7,February,2018,High,Spring
12,Bio-MyicnAs3rdRx,157,23.0,16.0,85.35,10.19,4.76,747.32,February,2018,High,Spring
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
15,Draxxin,11459,1931.0,859.0,83.15,7.50,358.49,4107891.07,February,2018,High,Spring
16,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
18,Excede,1765,324.0,218.0,81.64,12.35,23.42,41327.48,February,2018,High,Spring
19,ExcedeAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
20,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
21,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
23,LA-200,127,11.0,2.0,91.34,1.57,4.68,594.36,February,2018,High,Spring
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
25,MassRxDraxxin,700,86.0,35.0,87.71,5.00,33.77,23639.0,February,2018,High,Spring
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
27,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
29,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
33,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
0,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
1,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
2,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
3,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
4,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
5,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
6,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
7,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
8,Nuflor,2788,531.0,270.0,80.95,9.68,35.36,98589.25,February,2018,High,Spring
9,NuflorAs2ndRx,85,19.0,17.0,77.65,20.00,26.09,2217.65,February,2018,High,Spring
10,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
11,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
13,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
14,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
15,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
16,ResflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
17,ResflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
18,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
19,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,High,Spring
20,Zactran,131,4.0,7.0,96.95,5.34,0.0,0.0,February,2018,High,Spring
21,Zuprevo,292,45.0,24.0,84.59,8.22,36.47,10647.78,February,2018,High,Spring
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
5,Advocin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
6,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
7,Baytril,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
8,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
9,BaytrilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
10,Bio-Mycin,4,0.0,1.0,100.00,25.00,0.0,0.0,February,2018,UltraHigh,Spring
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
12,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
13,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
14,Draxxin,44,0.0,0.0,100.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
15,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
16,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
17,Excede,23,0.0,5.0,100.00,21.74,0.0,0.0,February,2018,UltraHigh,Spring
18,ExcedeAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
19,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
20,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
21,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
22,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
23,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
24,MassRxDraxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
25,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
26,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
27,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
28,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
29,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
30,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
31,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
32,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
33,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
0,MassRxZuprevo,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
1,Micotil,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
2,MicotilAs2ndRx,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
3,MicotilAs3rdRx,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
4,Naxcel,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
5,NaxcelAs2ndRx,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
6,NaxcelAs3rdRx,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
7,Nuflor,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
8,NuflorAs2ndRx,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
9,NuflorAs3rdRx,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
10,NuflorGold,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
11,NuflorGoldAs2ndRx,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
12,Oxy100,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
13,Polyflex,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
14,Pro-Pen-G,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
15,ResflorGold,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
16,ResflorGoldAs2ndRx,3,,,100.00,33.33,0.0,0.0,February,2018,UltraHigh,Spring
17,Tetradure,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
18,Tylan,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
19,Zactran,0,,0.0,0.00,0.00,0.0,0.0,February,2018,UltraHigh,Spring
20,Zuprevo,27,,,100.00,18.52,0.0,0.0,February,2018,UltraHigh,Spring
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
5,Advocin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
6,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
7,Baytril,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
8,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
9,BaytrilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
10,Bio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
12,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
13,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
14,Draxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
15,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
16,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
17,Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
18,ExcedeAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
19,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
20,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
21,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
22,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
23,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
24,MassRxDraxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
25,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
26,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
27,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
28,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
29,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
30,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
31,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
32,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
33,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2018,Natural,Spring
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
5,Advocin,95,4.0,12.0,95.79,12.63,35.27,3350.89,March,2018,Low,Spring
6,AdvocinAs2ndRx,632,5.0,110.0,99.21,17.41,25.24,15951.68,March,2018,Low,Spring
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
8,Baytril,7,5.0,2.0,28.57,28.57,14.97,104.79,March,2018,Low,Spring
9,BaytrilAs2ndRx,1096,1.0,84.0,99.91,7.66,22.4,24550.4,March,2018,Low,Spring
10,BaytrilAs3rdRx,9,1.0,2.0,88.89,22.22,24.08,216.72,March,2018,Low,Spring
11,Bio-Mycin,75,11.0,4.0,85.33,5.33,5.74,430.5,March,2018,Low,Spring
12,Bio-MyicnAs3rdRx,7,0.0,2.0,100.00,28.57,5.1,35.7,March,2018,Low,Spring
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
15,Draxxin,7033,264.0,331.0,96.25,4.71,40.56,285286.61,March,2018,Low,Spring
16,DraxxinAs2ndRx,180,23.0,22.0,87.22,12.22,31.51,5670.9,March,2018,Low,Spring
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
18,Excede,22,6.0,9.0,72.73,40.91,22.55,496.1,March,2018,Low,Spring
19,ExcedeAs2ndRx,232,3.0,32.0,98.71,13.79,21.63,5018.16,March,2018,Low,Spring
20,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
21,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
23,LA-200,62,0.0,1.0,100.00,1.61,5.71,354.02,March,2018,Low,Spring
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
25,MassRxDraxxin,800,0.0,3.0,100.00,0.38,16.7,13360.0,March,2018,Low,Spring
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
27,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
29,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
0,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
1,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
2,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
3,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
4,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
5,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
6,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
7,Nuflor,70,7.0,4.0,90.00,5.71,52.26,3658.2,March,2018,Natural,Spring
8,NuflorAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
9,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
10,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
12,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
13,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
14,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
15,ResflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
17,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
18,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
19,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
20,Zuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Natural,Spring
0,MassRxZactran,14891,1057.0,46.0,92.90,0.31,28.66,426850.51,March,2018,Low,Spring
1,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
2,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
3,Micotil,2,1.0,0.0,50.00,0.00,17.51,35.02,March,2018,Low,Spring
4,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
5,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
6,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
7,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
8,NaxcelAs3rdRx,18,0.0,4.0,100.00,22.22,0.0,0.0,March,2018,Low,Spring
9,Nuflor,1551,141.0,123.0,90.91,7.93,39.26,60892.26,March,2018,Low,Spring
10,NuflorAs2ndRx,229,0.0,29.0,100.00,12.66,0.0,0.0,March,2018,Low,Spring
11,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
12,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
13,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
14,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
15,Polyflex,34,0.0,1.0,100.00,2.94,3.76,127.84,March,2018,Low,Spring
16,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
17,ResflorGold,481,96.0,51.0,80.04,10.60,28.57,13744.57,March,2018,Low,Spring
18,ResflorGoldAs2ndRx,24,13.0,4.0,45.83,16.67,27.93,670.2,March,2018,Low,Spring
19,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
20,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
21,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,March,2018,Low,Spring
22,Zuprevo,27,7.0,7.0,74.07,25.93,30.88,833.76,March,2018,Low,Spring
1,300PROLA,0,,,0.00,0.00,0.0,0.0,March,2018,Moderate,Spring
2,A180,0,,,0.00,0.00,0.0,0.0,March,2018,Moderate,Spring
3,A180As2ndRx,0,,,0.00,0.00,0.0,0.0,March,2018,Moderate,Spring
4,Adspec,0,,,0.00,0.00,0.0,0.0,March,2018,Moderate,Spring
5,Advocin,732,,,98.77,14.21,38.16,27934.58,March,2018,Moderate,Spring
6,AdvocinAs2ndRx,22,,,100.00,9.09,0.0,0.0,March,2018,Moderate,Spring
7,AlbonBolus,0,,,0.00,0.00,0.0,0.0,March,2018,Moderate,Spring
8,Baytril,326,,,98.77,4.91,0.0,0.0,March,2018,Moderate,Spring
9,BaytrilAs2ndRx,86,,,100.00,20.93,0.0,0.0,March,2018,Moderate,Spring
10,BaytrilAs3rdRx,326,,,100.00,24.85,0.0,0.0,March,2018,Moderate,Spring
11,Bio-Mycin,3317,,,88.45,2.08,3.82,12678.31,March,2018,Moderate,Spring
12,Bio-MyicnAs3rdRx,194,,,92.78,4.64,19.13,3712.19,March,2018,Moderate,Spring
13,Borgal,0,,,0.00,0.00,0.0,0.0,March,2018,Moderate,Spring
